"ES","obsES","nsub","corr","Nvar","power","PC","powerbase","Nvar_gain","PC_gain"
"0.7",0.6609,80,"0.2","N6",1,0.494,0.994083024195344,0.00591697580465556,-0.500083024195344
"0.7",0.659,80,"0.4","N6",1,0.492,0.993879038674307,0.00612096132569317,-0.501879038674307
"0.7",0.6591,80,"0.6","N6",1,0.492,0.993889928117923,0.00611007188207657,-0.501889928117923
"0.7",0.6626,80,"0.8","N6",0.997,0.513,0.994260403473486,0.00273959652651434,-0.481260403473486
"0.7",0.6601,110,"0","N6",1,0.353,0.99939246473296,0.000607535267040382,-0.64639246473296
"0.7",0.6625,110,"0.2","N6",1,0.498,0.999429156441227,0.000570843558773459,-0.501429156441227
"0.7",0.654,110,"0.4","N6",1,0.49,0.999289181537576,0.000710818462424267,-0.509289181537576
"0.7",0.6508,110,"0.6","N6",1,0.513,0.999228743746643,0.0007712562533575,-0.486228743746642
"0.7",0.659,110,"0.8","N6",1,0.535,0.999374930030727,0.000625069969272807,-0.464374930030727
"0",0.0101,20,"0","N8",0.005,0.001,0.0533203055762171,-0.0483203055762171,-0.0523203055762171
"0",-0.011,20,"0.2","N8",0.012,0.005,0.0465735901212763,-0.0345735901212763,-0.0415735901212763
"0",-0.0063,20,"0.4","N8",0.031,0.007,0.0480138195608516,-0.0170138195608516,-0.0410138195608516
"0",0.0053,20,"0.6","N8",0.039,0.015,0.0517211751504409,-0.0127211751504409,-0.0367211751504409
"0",-0.0122,20,"0.8","N8",0.036,0.017,0.0462114821780863,-0.0102114821780864,-0.0292114821780863
